Object Designation,Date (yyyy-mm-dd.dd),Impact Probability,Impact Energy (Mt),Palermo Scale,Torino Scale,Number,Mass (kg),Diameter (km),Absolute magnitude (H)
101955 Bennu (1999 RQ36),2195-09-24.94,0.0000002,1422,-4.89,,a0101955,74000000000,0.49,20.6
(2005 ED224),2030-03-11.19,0.00000016,26.63,-4.9,0,bK05EM4D,240000000,0.057,23.9
101955 Bennu (1999 RQ36),2199-09-24.85,0.0000002,1421,-4.9,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2203-09-25.94,0.0000002,1422,-4.91,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2203-09-25.83,0.0000002,1421,-4.91,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2202-09-25.68,0.0000002,1420,-4.91,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2202-09-25.67,0.0000002,1419,-4.91,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2202-09-25.61,0.0000002,1421,-4.91,,a0101955,74000000000,0.49,20.6
(2007 WP3),2105-11-12.31,0.0000037,14.01,-4.91,0,bK07W03P,400000000,0.067,23.5
(2002 MN),2122-06-17.41,0.0000043,14.6,-4.91,0,bK02M00N,530000000,0.073,23.3
101955 Bennu (1999 RQ36),2209-09-25.30,0.0000002,1422,-4.92,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2207-09-25.86,0.0000002,1420,-4.92,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2206-09-25.66,0.0000002,1422,-4.92,,a0101955,74000000000,0.49,20.6
(2016 WG),2101-06-24.42,0.0000013,45.44,-4.93,0,bK16W00G,560000000,0.075,23.3
101955 Bennu (1999 RQ36),2210-09-25.64,0.0000002,1420,-4.93,,a0101955,74000000000,0.49,20.6
(2002 RB182),2110-09-27.21,0.0000014,42.76,-4.95,0,bK02RI2B,1100000000,0.092,22.8
(2008 PK9),2049-08-10.49,0.00000028,72.52,-4.95,0,bK08P09K,620000000,0.077,23.2
(2016 WG),2101-06-24.42,0.0000012,45.44,-4.98,0,bK16W00G,560000000,0.075,23.3
(2005 CC37),2117-01-13.66,0.0000019,29.73,-4.99,0,bK05C37C,1300000000,0.098,22.7
